package;file;line;code;type;correct
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreSingleInstanceClient.java;58;connect_start < start;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreSingleInstanceClient.java;63;connect_start - start > max_millis_to_wait;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreSingleInstanceClient.java;107;time_taken < CONNECT_TIMEOUT;TimeoutResources;1
com.aelitis.azureus.core.instancemanager.impl.AZInstanceManagerImpl;/vuze/com/aelitis/azureus/core/instancemanager/impl/AZInstanceManagerImpl.java;1359;Thread.sleep( 2500 );ThreadTime;1
com.aelitis.azureus.core.lws;/vuze/com/aelitis/azureus/core/lws/LightWeightSeed.java;671;millis_since_last_act < DEACTIVATION_WITH_POTENTIAL_TIMEOUT;TimeoutResources;1
com.aelitis.azureus.core.lws;/vuze/com/aelitis/azureus/core/lws/LightWeightSeed.java;679;millis_since_last_act >= DEACTIVATION_TIMEOUT;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminHTTPProxyImpl.java;240;Thread.sleep( 50 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminImpl.java;464;age > 10*60*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminImpl.java;1413;gdpa_last_lookup != 0 && now - gdpa_last_lookup <= 60*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminImpl.java;1467;gdpa_last_fail != 0 && SystemTime.getMonotonousTime() - gdpa_last_fail < 5*60*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminImpl.java;2682;bs_last_value != null && now - bs_last_calc < 30*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.admin.impl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminProtocolImpl.java;138;Thread.sleep( 500 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminSpeedTesterBTImpl;/vuze/com/aelitis/azureus/core/networkmanager/admin/impl/NetworkAdminSpeedTesterBTImpl.java;498;Thread.sleep(1000);ThreadTime;1
com.aelitis.azureus.core.networkmanager;/vuze/com/aelitis/azureus/core/networkmanager/EventWaiter.java;51;this.wait( timeout );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl;/vuze/com/aelitis/azureus/core/networkmanager/impl/ByteBucketMT.java;153;prev_update_time <now;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.impl;/vuze/com/aelitis/azureus/core/networkmanager/impl/ProtocolDecoderPHE.java;1993;Thread.sleep( delay );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/IncomingSocketChannelManager.java;504;Thread.sleep( 1000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/ProxyLoginHandler.java;339;Thread.sleep( 10 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/SelectorGuard.java;130;Thread.sleep( 50 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/TCPConnectionManager.java;663;Thread.sleep( sleep );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/TCPConnectionManager.java;788;wait < 0 || wait > 60*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/TCPNetworkManager.java;187;Thread.sleep( sleep );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/TCPNetworkManager.java;241;Thread.sleep( sleep );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualBlockingServerChannelSelector.java;142;Thread.sleep( 500 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;323;Thread.sleep( 1000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;328;Thread.sleep( 10000 );ThreadTime;1
